NAME	LAT	LON
BIARRITZ	43,28	-1,32
PAU	43,23	-0,25
TARBES/OSSUN	43,11	0
AUCH	43,41	0,36
TOULOUSE	43,38	1,22
CARCASSONNE	43,13	2,19
BEZIER-VIAS	43,18	3,24
MONTPELLIER	43,35	3,58
NIMES/COURBESSAC	43,52	4,24
SALON	43,36	5,06
MARSEILLE	43,27	5,13
HYERES/ALMANARRE	43,06	6,09
PORQUEROLLES	43	6,14
LE LUC	43,23	6,23
ST.RAPHAEL	43,25	6,45
CANNES	43,33	6,57
NIZZA	43,39	7,12
CAP FERRAT	43,41	7,2
PERPIGNAN	42,44	2,52
CALVI	42,32	8,48
AJACCIO	41,55	8,48
PERTUSATO / CORSICA	41,22	9,11
FIGARI	41,3	9,06
CAP CORSE	43	9,22
BASTIA	42,33	9,29
LA CORUNA	43,22	-8,25
RIBADEO	43,32	-7,01
AVILES/DIV.PAST	43,33	-5,55
GIJON	43,32	-5,38
OVIEDO	43,21	-5,52
SANTANDER/PARAYAS	43,26	-3,49
SANTANDER	43,29	-3,48
BILBAO	43,18	-2,56
SAN SEBASTIAN/IGUEL.	43,18	-2,03
SAN SEBASTIAN/FUENT.	43,21	-1,48
FISTERRA	42,56	-9,17
SANTIAGO	42,54	-8,26
VIGO/PEINADOR	42,13	-8,38
LEON	42,35	-5,39
BURGOS-VILLAFRIA	42,22	-3,38
VITORIA OBSERVATORI	42,52	-2,44
VALLADOLID	41,43	-4,51
VALLADOLID	41,38	-4,45
ZARAGOZA	41,4	-1,01
LERIDA	41,37	0,38
REUS	41,09	1,1
BARCELONA	41,17	2,04
SABADELL	41,31	2,07
GERONA/COST.BRAVA	41,54	2,46
SALAMANCA/MATACAN	40,57	-5,3
MADRID/BARAJAS	40,27	-3,33
MADRID	40,29	-3,27
TOLEDO BUENAVISTA	39,53	-4,03
ALBACETE/LOS LLANOS	38,57	-1,51
VALENCIA	39,3	-0,28
CASTELLON DE LA PLAN	39,57	0,04
PALMA	39,33	2,44
POLLENSA	39,54	3,06
MENORCA	39,52	4,14
BADAJOZ/TALAVERA	38,53	-6,49
ALICANTE	38,17	-0,33
JAVEA/YUNTAMIEN	38,47	-0,1
IBIZA	38,52	1,23
HUELVA	37,17	-6,55
SEVILLA	37,22	-6
SEVILLA/SAN PABLO	37,25	-5,53
MORON DE LA FRONTERA	37,09	-5,37
CORDOBA	37,51	-4,51
GRANADA/AEROPUERTO	37,11	-3,47
MURCIA	38	-1,1
AGUILAS	37,25	-1,35
MURCIA/SAN JAVIER	37,47	-0,48
JEREZ DE LA FRONTERA	36,45	-6,04
MALAGA	36,4	-4,29
MOTRIL/CLUB NAUTICO	36,43	-3,32
ALMERIA	36,51	-2,23
GIBRALTAR	36,09	-5,21
FLORES/AZOREN	39,27	-31,08
AZOREN	38,31	-28,43
LAJES/AZOREN	38,46	-27,06
PONTA DELGADA	37,45	-25,4
SANTA MARIA	36,58	-25,1
FUNCHAL	32,41	-16,46
SINTRA/GRANJA	38,5	-9,2
LISSABON	38,47	-9,08
SAGRES	37	-8,57
MONTE REAL	39,5	-8,53
SINES (MONTES CHAOS)	37,57	-8,5
PORTO	41,14	-8,41
PORTO/SERRA DO PILAR	41,08	-8,36
AVEIRO	40,39	-8,44
COIMBRA/CERVACHE	40,09	-8,28
VIANA DO CASTELO	41,38	-8,48
FARO	37,01	-7,58
BEJA	38,01	-7,52
VILA REAL	41,16	-7,43
